diagnosis,count_in_file,scenario_ids,strict_match_type,strict_matched_alias,strict_match_score,guideline_source,guideline_title,guideline_id,guideline_path,shared_tokens,original_mayoclinic_title,original_uptodate_title
Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,1,68,very_close,thrombosis deep,3.1,uptodate,"Society guideline links: Superficial vein thrombosis, deep vein thrombosis, and pulmonary embolism",16680.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/16680.txt,"deep, embolism, thrombosis",Pulmonary embolism,Overview of acute pulmonary embolism in adults
"Alcohol abuse with intoxication, unspecified",6,"59,91,117,142,155,157",very_close,alcohol abuse intoxication,3.2,mayoclinic,Child abuse,123,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,abuse,Alcohol use disorder,Ethanol intoxication in adults
"Alcohol abuse, unspecified",10,"40,93,102,111,116,122,132,148,153,194",very_close,alcohol abuse,3.1,mayoclinic,Child abuse,123,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,abuse,Alcohol use disorder,Ethanol intoxication in adults
"Anxiety state, unspecified",2,"94,103",very_close,anxiety,3.0,mayoclinic,Anxiety disorders,705,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,anxiety,Generalized anxiety disorder,Generalized anxiety disorder in adults: Management
Atherosclerosis of native arteries of the extremities with rest pain,1,191,very_close,atherosclerosis native arteries extremities rest pain,3.5,uptodate,Approach to the management of acute pain in adults,2443.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/2443.txt,pain,Arteriosclerosis / atherosclerosis,Approach to the management of acute pain in adults
Atrial fibrillation,1,98,exact,atrial fibrillation,4.0,mayoclinic,Atrial fibrillation,833,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"atrial, fibrillation",Atrial fibrillation,Atrial fibrillation: Cardioversion
Bacterial Pharyngitis,1,95,exact,pharyngitis,4.0,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,pharyngitis,Sore throat,Evaluation of sore throat in children
Bacterial Vaginosis,1,187,exact,bacterial vaginosis,4.0,mayoclinic,Bacterial vaginosis,357,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"bacterial, vaginosis",Bacterial vaginosis,Bacterial vaginosis: Initial treatment
Benign neoplasm of ovary,1,39,very_close,benign neoplasm,3.1,uptodate,Treatment for tenosynovial giant cell tumor and other benign neoplasms affecting soft tissue and bone,18595.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/18595.txt,benign,Preterm labor,Treatment for tenosynovial giant cell tumor and other benign neoplasms affecting soft tissue and bone
"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",1,7,exact,cholecystitis,4.0,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cholecystitis,Cholecystitis,Approach to the management of gallstones
"Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction",1,199,exact,cholecystitis,4.0,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cholecystitis,Cholecystitis,Approach to the management of gallstones
Calculus of gallbladder with acute and chronic cholecystitis without obstruction,1,172,exact,cholecystitis,4.0,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cholecystitis,Cholecystitis,Approach to the management of gallstones
"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",1,30,exact,cholecystitis,4.0,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cholecystitis,Cholecystitis,Approach to the management of gallstones
"Calculus of gallbladder with other cholecystitis, without mention of obstruction",1,124,exact,cholecystitis,4.0,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cholecystitis,Cholecystitis,Approach to the management of gallstones
Calculus of kidney,2,"125,183",exact,kidney stones,4.0,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,kidney,Kidney stones,Kidney stones in children: Acute management
Calculus of ureter,2,"56,190",exact,kidney stones,4.0,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,,Kidney stones,Kidney stones in children: Acute management
Cellulitis and abscess of face,2,"0,152",exact,cellulitis,4.0,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cellulitis,Face-lift,"Cellulitis and skin abscess: Epidemiology, microbiology, clinical manifestations, and diagnosis"
"Cellulitis and abscess of finger, unspecified",1,162,exact,cellulitis,4.0,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cellulitis,Trigger finger,"Cellulitis and skin abscess: Epidemiology, microbiology, clinical manifestations, and diagnosis"
"Cellulitis and abscess of foot, except toes",1,45,exact,cellulitis,4.0,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cellulitis,Cellulitis,"Cellulitis and skin abscess: Epidemiology, microbiology, clinical manifestations, and diagnosis"
"Cellulitis and abscess of leg, except foot",4,"48,134,169,175",exact,cellulitis,4.0,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cellulitis,Cellulitis,"Cellulitis and skin abscess: Epidemiology, microbiology, clinical manifestations, and diagnosis"
Cellulitis and abscess of upper arm and forearm,2,"138,145",exact,cellulitis,4.0,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,cellulitis,Cellulitis,"Cellulitis and skin abscess: Epidemiology, microbiology, clinical manifestations, and diagnosis"
"Cerebral aneurysm, nonruptured",1,140,very_close,cerebral aneurysm,3.1,uptodate,Treatment of cerebral aneurysms,3216.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/3216.txt,cerebral,Cerebral palsy,Treatment of cerebral aneurysms
"Cerebral artery occlusion, unspecified with cerebral infarction",1,28,exact,stroke,4.0,mayoclinic,Stroke,89,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,,Stroke,Overview of the evaluation of stroke
Cervical spondylosis with myelopathy,1,147,exact,cervical spondylosis,4.0,mayoclinic,Cervical spondylosis,237,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"cervical, spondylosis",Cervical spondylosis,Treatment and prognosis of cervical radiculopathy
Cervical spondylosis without myelopathy,1,195,exact,cervical spondylosis,4.0,mayoclinic,Cervical spondylosis,237,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"cervical, spondylosis",Cervical spondylosis,Treatment and prognosis of cervical radiculopathy
"Chest pain, unspecified",25,"18,22,29,33,35,41,42,50,53,71,76,84,96,105,106,143,151,158,159,160,165,167,177,178,179",exact,chest pain,4.0,mayoclinic,Chest pain,189,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"chest, pain",Chest pain,Evaluation of the adult with chest pain of esophageal origin
Chronic paroxysmal hemicrania,1,101,very_close,paroxysmal hemicrania,3.1,uptodate,Paroxysmal hemicrania: Treatment and prognosis,18126.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/18126.txt,"hemicrania, paroxysmal",Migraine,Occipital neuralgia
"Contact dermatitis and other eczema, unspecified cause",1,193,exact,contact dermatitis,4.0,mayoclinic,Contact dermatitis,224,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"contact, dermatitis",Contact dermatitis,Contact dermatitis in children
"Depressive disorder, not elsewhere classified",5,"34,49,110,113,137",very_close,depressive disorder,3.1,mayoclinic,Persistent depressive disorder,511,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"depressive, disorder",Depression (major depressive disorder),Society guideline links: Depressive disorders
Diabetes Mellitus with possible Diabetic Neuropathy,1,173,exact,diabetic neuropathy,4.0,mayoclinic,Diabetic neuropathy,1764,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"diabetic, neuropathy",Diabetic neuropathy,Management of diabetic neuropathy
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",1,192,very_close,diabetes mellitus ii stated as uncontrolled,3.5,mayoclinic,Diabetes,1747,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,diabetes,Type 2 diabetes,Neonatal diabetes mellitus
Dissection of vertebral artery,1,92,very_close,vertebral artery,3.1,uptodate,Vertebral artery revascularization,16776.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/16776.txt,"artery, vertebral",Spontaneous coronary artery dissection (SCAD),Vertebral artery revascularization
Diverticulitis of colon (without mention of hemorrhage),3,"77,78,131",exact,diverticulitis,4.0,mayoclinic,Diverticulitis,1800,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,diverticulitis,Diverticulitis,Overview of colon polyps
Dizziness and giddiness,2,"89,171",very_close,dizziness giddiness,3.1,mayoclinic,Dizziness,1756,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,dizziness,Dizziness,Approach to the patient with dizziness
Epigastric abdominal pain likely due to Gallstones/Cholelithiasis,1,182,exact,abdominal pain,4.0,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,"abdominal, pain",Gallstones,Evaluation of the adult with abdominal pain
Epistaxis,1,119,exact,epistaxis,4.0,uptodate,Management of epistaxis in children,11878.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11878.txt,epistaxis,,Management of epistaxis in children
Hydronephrosis with renal and ureteral calculous obstruction,1,129,exact,kidney stones,4.0,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,,Kidney stones,Kidney stones in children: Acute management
"Infective otitis externa, unspecified",1,32,exact,otitis media,4.0,uptodate,Acute otitis media in adults,15365.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15365.txt,otitis,External beam radiation for prostate cancer,Acute otitis media in adults
Interstitial Emphysema,1,80,very_close,interstitial emphysema,3.1,mayoclinic,Emphysema,404,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,emphysema,Emphysema,Patient education: Shortness of breath (dyspnea) (Beyond the Basics)
Left tubal pregnancy without intrauterine pregnancy,1,52,exact,ectopic pregnancy,4.0,mayoclinic,Ectopic pregnancy,398,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"ectopic, pregnancy",Ectopic pregnancy,Ectopic pregnancy: Expectant management of tubal pregnancy
Lyme Disease,1,13,exact,lyme disease,4.0,mayoclinic,Lyme disease,1306,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"disease, lyme",Lyme disease,Lyme disease: Clinical manifestations in children
"Major depressive disorder, recurrent severe without psychotic features",1,37,very_close,major depressive disorder,3.2,mayoclinic,Depression (major depressive disorder),159,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"depressive, disorder, major",Depression (major depressive disorder),Unipolar major depression with psychotic features: Acute treatment
"Major depressive disorder, single episode, unspecified",6,"75,90,109,133,186,197",very_close,major depressive disorder,3.2,mayoclinic,Depression (major depressive disorder),159,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"depressive, disorder, major",Depression (major depressive disorder),Society guideline links: Depressive disorders
"Malignant neoplasm of kidney, except pelvis",1,1,exact,kidney stones,4.0,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,kidney,Kidney stones,Kidney stones in children: Acute management
"Malignant neoplasm of left kidney, except renal pelvis",1,72,exact,kidney stones,4.0,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,kidney,Kidney stones,Kidney stones in children: Acute management
Malignant neoplasm of thyroid gland,2,"46,73",very_close,thyroid gland,3.1,uptodate,Surgical anatomy of the thyroid gland,16381.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/16381.txt,"gland, thyroid",Thyroid cancer,Surgical anatomy of the thyroid gland
"Migraine with aura, not intractable, without status migrainosus",1,14,exact,migraine aura,4.0,mayoclinic,Migraine with aura,1144,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"aura, migraine",Migraine with aura,Occipital neuralgia
Mononucleosis (Infectious mononucleosis caused by Epstein-Barr virus),1,2,exact,infectious mononucleosis,4.0,uptodate,Infectious mononucleosis,11449.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11449.txt,"infectious, mononucleosis",Mononucleosis,Infectious mononucleosis
Occipital neuralgia,1,16,exact,occipital neuralgia,4.0,uptodate,Occipital neuralgia,18134.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/18134.txt,"neuralgia, occipital",Migraine,Occipital neuralgia
Occlusion and stenosis of carotid artery without mention of cerebral infarction,1,149,very_close,occlusion stenosis carotid artery cerebral infarction,3.5,mayoclinic,TEN,1013,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,,Carotid artery disease,Evaluation of carotid artery stenosis
Onychia and paronychia of finger,1,17,exact,paronychia,4.0,uptodate,Paronychia,4465.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/4465.txt,paronychia,Trigger finger,Paronychia
"Opioid abuse, continuous",1,44,very_close,opioid abuse,3.1,mayoclinic,Child abuse,123,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,abuse,Child abuse,Abuse deterrent opioids
Other chest pain,4,"6,100,120,180",exact,chest pain,4.0,mayoclinic,Chest pain,189,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"chest, pain",Chest pain,Evaluation of the adult with chest pain of esophageal origin
Other pulmonary embolism and infarction,1,154,exact,pulmonary embolism,4.0,mayoclinic,Pulmonary embolism,450,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"embolism, pulmonary",Pulmonary embolism,Overview of acute pulmonary embolism in adults
"Otitis media, unspecified, left ear",1,146,exact,otitis media,4.0,uptodate,Acute otitis media in adults,15365.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15365.txt,"media, otitis",Ear tubes,Acute otitis media in adults
Pain in limb,1,25,very_close,pain limb,3.1,uptodate,Approach to the management of acute pain in adults,2443.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/2443.txt,pain,Residual limb pain,COVID-19: Acute limb ischemia
Pathologic fracture of vertebrae,1,139,very_close,pathologic fracture,3.1,uptodate,"Management of complete and impending pathologic fractures in patients with metastatic bone disease, multiple myeloma, and lymphoma",17040.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/17040.txt,pathologic,Back pain,"Management of complete and impending pathologic fractures in patients with metastatic bone disease, multiple myeloma, and lymphoma"
Peptic Ulcer Disease,1,161,exact,peptic ulcer,4.0,mayoclinic,Peptic ulcer,612,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"peptic, ulcer",Peptic ulcer,Peptic ulcer disease: Treatment and secondary prevention
Peritonsillar abscess,3,"4,36,60",very_close,,1.917,uptodate,Peritonsillar cellulitis and abscess,11798.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11798.txt,"abscess, peritonsillar",Tooth abscess,Peritonsillar cellulitis and abscess
Pilonidal cyst with abscess,1,121,exact,pilonidal cyst,4.0,mayoclinic,Pilonidal cyst,251,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"cyst, pilonidal",Pilonidal cyst,Patient education: Pilonidal cyst (The Basics)
"Pneumonia, organism unspecified",1,74,exact,pneumonia,4.0,mayoclinic,Pneumonia,583,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,pneumonia,Pneumonia,Pneumonia in children: Inpatient treatment
"Pyelonephritis, unspecified",1,69,very_close,pyelonephritis,3.0,uptodate,Xanthogranulomatous pyelonephritis,16545.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/16545.txt,pyelonephritis,,Xanthogranulomatous pyelonephritis
Reaction to spinal or lumbar puncture,1,79,very_close,lumbar puncture,3.1,mayoclinic,Lumbar puncture (spinal tap),11611,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"lumbar, puncture, spinal",Lumbar puncture (spinal tap),Patient education: Lumbar puncture (spinal tap) (The Basics)
Renal colic,1,51,exact,kidney stones,4.0,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,,Kidney stones,Kidney stones in children: Acute management
Rhabdomyolysis,3,"63,81,128",very_close,rhabdomyolysis,3.0,uptodate,Rhabdomyolysis: Epidemiology and etiology,11392.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11392.txt,rhabdomyolysis,,Rhabdomyolysis: Epidemiology and etiology
Right tubal pregnancy without intrauterine pregnancy,1,114,exact,ectopic pregnancy,4.0,mayoclinic,Ectopic pregnancy,398,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"ectopic, pregnancy",Ectopic pregnancy,Ectopic pregnancy: Expectant management of tubal pregnancy
"Schizoaffective disorder, unspecified",1,43,exact,schizoaffective disorder,4.0,mayoclinic,Schizoaffective disorder,1694,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"disorder, schizoaffective",Schizoaffective disorder,Psychosis in adults: Initial management
Streptococcal pharyngitis,2,"9,58",exact,pharyngitis,4.0,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,pharyngitis,Sore throat,Evaluation of sore throat in children
Streptococcal sore throat,1,184,exact,sore throat,4.0,mayoclinic,Sore throat,586,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"sore, throat",Sore throat,Evaluation of sore throat in children
Suicidal ideation,1,87,very_close,suicidal ideation,3.1,uptodate,Suicidal ideation and behavior in adults,13218.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/13218.txt,"ideation, suicidal",Suicide and suicidal thoughts,Suicidal ideation and behavior in adults
"Threatened premature labor, antepartum condition or complication",1,189,very_close,threatened premature labor,3.2,mayoclinic,TEN,1013,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,,Preterm labor,Inhibition of acute preterm labor
Toxic diffuse goiter without mention of thyrotoxic crisis or storm,1,62,very_close,toxic diffuse goiter thyrotoxic crisis storm,3.5,mayoclinic,Goiter,397,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,goiter,Thyroid cancer,Anaplastic thyroid cancer
Type 2 Diabetes Mellitus with signs of hypertension and microalbuminuria,1,168,exact,2 diabetes,4.0,mayoclinic,Type 2 diabetes,1017,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"2, diabetes",Type 2 diabetes,Overview of hypertension in adults
"Umbilical hernia with obstruction, without gangrene",1,130,exact,umbilical hernia,4.0,mayoclinic,Umbilical hernia,1252,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"hernia, umbilical",Umbilical hernia,Large bowel obstruction
Unspecified acute appendicitis,2,"65,188",exact,appendicitis,4.0,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,appendicitis,Appendicitis,Management of acute appendicitis in adults
Unspecified appendicitis,1,166,exact,appendicitis,4.0,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,appendicitis,Appendicitis,Management of acute appendicitis in adults
Unspecified intestinal obstruction,1,12,exact,intestinal obstruction,4.0,mayoclinic,Intestinal obstruction,321,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,"intestinal, obstruction",Intestinal obstruction,Large bowel obstruction
Unspecified psychosis,1,164,exact,psychosis,4.0,uptodate,Psychosis in adults: Initial management,18881.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/18881.txt,psychosis,Schizoaffective disorder,Psychosis in adults: Initial management
"Unspecified psychosis possibly compounded by substance use (noting the positive opiate screen). However, thorough examination and history are required to exclude other organic causes.",1,67,very_close,psychosis possibly compounded by substance use noting positive opiate screen however thorough examination history are required exclude organic causes,3.5,uptodate,Psychosis in adults: Initial management,18881.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/18881.txt,psychosis,Bipolar disorder,Psychosis in adults: Initial management
